Naam,Prijs,Foto,Review,Kleur
Fiets thermoshirt dames met lange mouwen 500 grijs,"€16,99",https://contents.mediadecathlon.com/p1231364/k$66eea37cc2dacc7e9e4c7c514d6d49da/sq/fiets-thermoshirt-dames-met-lange-mouwen-500-grijs.jpg?format=auto&f=800x0,"['Snelle verzending', 'Na een week wachten nog steeds niet ontvangen, ondanks de belofte om volgende dag te leveren.']",dimgray
Ademend hardloop T-shirt voor heren Skincare royal blue limited edition,"€19,99",https://contents.mediadecathlon.com/p2197046/k$d56379a3af823551cb32d09e2690076e/sq/ademend-hardloop-t-shirt-voor-heren-skincare-royal-blue-limited-edition.jpg?format=auto&f=800x0,"['Hetgeen ik op het oog had, ontbrak (maat).', 'Ideaal shirt voor crossfit']",lavender
Heatkeeper thermo dames broek/shirt set zwart,"€33,95",https://contents.mediadecathlon.com/m8062079/k$611e4ff066dd082ad65eb541633f880c/sq/heatkeeper-thermo-dames-broekshirt-set-zwart.jpg?format=auto&f=800x0,"['fijne warme thermobroek ,doet wat het moet doen ,mijn benen warm houden']",darkslategray
Mouwloos ondershirt voor basketbal volwassenen NBA Los Angeles Lakers UT500 zwart,"€19,99",https://contents.mediadecathlon.com/p2333393/k$75c9aba196a762be6910e8cda58e36a0/sq/mouwloos-ondershirt-voor-basketbal-volwassenen-nba-los-angeles-lakers-ut500-zwart.jpg?format=auto&f=800x0,"['Très bien mon fils est content de son cadeau', ""C'est pour offrir mais très satisfait""]",whitesmoke
Thermoshirt voor skiën dames BL 100 zwart,"€6,99",https://contents.mediadecathlon.com/p1691845/k$ea7ac2b43e3d08cb55754cd7a6d353aa/sq/thermoshirt-voor-skien-dames-bl-100-zwart.jpg?format=auto&f=800x0,['Zeer slechte product...na een week gooi ik het in de prullenbak'],black
Thermoshirt unisex Keepdry 500 korte mouwen zwart,"€14,99",https://contents.mediadecathlon.com/p2361487/k$87c1d2002df069255814fef191eedb82/sq/thermoshirt-unisex-keepdry-500-korte-mouwen-zwart.jpg?format=auto&f=800x0,"['Draagt heerlijk, ook in de winter als gewone thermo', 'Gewoon goed en goedkoop']",NA
Thermoshirt unisex Keepdry 500 met lange mouwen zwart,"€17,99",https://contents.mediadecathlon.com/p2362329/k$b3445432a77058e145d218813a0c8b34/sq/thermoshirt-unisex-keepdry-500-met-lange-mouwen-zwart.jpg?format=auto&f=800x0,"['Goed shirt', 'De thermos kleding zit precies goed! en houdt je goed warm. een top aankoop!']",gainsboro
Thermoshirt kind | Thermokleding kind | Wedze 100 | Zwart,"€5,99",https://contents.mediadecathlon.com/p89687/k$95cdd18abb61c807c77c0139dbf39138/sq/thermoshirt-kind-thermokleding-kind-wedze-100-zwart.jpg?format=auto&f=800x0,"['Mouwen veel te kort. Retour', 'Tevreden']",black
FIETSONDERSHIRT ESSENTIAL ZWART,"€10,99",https://contents.mediadecathlon.com/p2132988/k$89bc513deff2a531e2fa69212bf23c66/sq/fietsondershirt-essential-zwart.jpg?format=auto&f=800x0,"['Het is zoals verwacht', 'Ik overweeg er nog eentje aan te schaffen.']",black
Wielren ondershirt Roadc 500 SM wit voor de zomer of indoor,"€15,99",https://contents.mediadecathlon.com/p2185868/k$36af0e0d53a7c68e53dcd04a6ad06c2b/sq/wielren-ondershirt-roadc-500-sm-wit-voor-de-zomer-of-indoor.jpg?format=auto&f=800x0,"['ok', 'heel blij ermee past heel goed']",lightgray
